2025-07-08 15:49:12 INFO:Scan avviata su 127.0.0.1 da porta 20 a 1024, UDP: True
2025-07-08 17:19:00,771 - ERROR - Error scanning UDP port 205: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,771 - ERROR - Error scanning UDP port 206: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 207: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 208: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 209: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 210: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 211: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 212: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 213: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 214: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 215: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 216: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 217: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 218: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 219: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 220: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 221: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 222: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 223: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 224: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 225: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 226: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 227: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 228: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 229: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 230: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 231: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 232: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 233: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 234: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 235: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 236: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 237: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 238: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 239: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 240: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 241: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 242: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 243: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,772 - ERROR - Error scanning UDP port 244: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,783 - ERROR - Error scanning UDP port 245: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,783 - ERROR - Error scanning UDP port 246: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,785 - ERROR - Error scanning UDP port 247: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,785 - ERROR - Error scanning UDP port 248: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,786 - ERROR - Error scanning UDP port 249: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,786 - ERROR - Error scanning UDP port 251: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,786 - ERROR - Error scanning UDP port 250: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,786 - ERROR - Error scanning UDP port 252: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,787 - ERROR - Error scanning UDP port 253: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,787 - ERROR - Error scanning UDP port 254: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,787 - ERROR - Error scanning UDP port 255: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,788 - ERROR - Error scanning UDP port 256: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,788 - ERROR - Error scanning UDP port 257: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,788 - ERROR - Error scanning UDP port 258: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,788 - ERROR - Error scanning UDP port 259: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,788 - ERROR - Error scanning UDP port 260: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,789 - ERROR - Error scanning UDP port 261: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,789 - ERROR - Error scanning UDP port 262: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:01,802 - ERROR - Error scanning UDP port 304: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:01,802 - ERROR - Error scanning UDP port 303: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
